流水號,大類別,From,post_url,created_time,post_type,postID,post_message,status_type,link,轉貼標題(name),留言數,按讚數,分享數,update_time
1,post,馬英九總統(118250504903757),http://www.facebook.com/118250504903757_1094020483993416,2016/01/19 13:30:10,photo,118250504903757_1094020483993416,昨天我接見了美國前副國務卿伯恩斯（William Burns）先生，他這次以美國高階特使的身份在大選後來到臺灣。上週六選舉結果揭曉後，美國國務院發表了公開聲明，除了向民進黨蔡英文主席表示祝賀，也公開感謝我上任後這幾年致力與美國發展堅實夥伴關係，並對我們近年來為改善兩岸關係所採取的具體措施表示讚賞。（The United States thanks President Ma Ying-jeou for his efforts to develop a strong partnership with the United States and applauds him for concrete steps he has taken to improve cross-Strait ties in recent years.）。（美國國務院新聞稿連結: http://goo.gl/fuJf6q）這次來訪，伯恩斯先生也告訴我，「臺美間的非官方關係從來沒像目前這麼好（has never been better），您對此有極大的功勞（deserve much credits）」，本次的選舉結果，也再次彰顯臺灣民主是一個成功的故事。對於這些來自美國國務院的肯定，我也特別向伯恩斯先生表達感謝。我也告訴伯恩斯先生，上個禮拜我國和平完成了總統大選，過程十分平和，顯示臺灣民主已逐漸成熟，也代表中華民國憲政秩序穩固。選舉結果出爐後，我也致電蔡英文主席，除了表達我的衷心祝賀，也希望新的政府上任後，能夠持續維持臺海和平與繁榮的現狀。,added_photos,https://www.facebook.com/MaYingjeou/photos/a.140389499356524.27404.118250504903757/1094020483993416/?type=3,Timeline Photos,1667,29206,475,2016/01/19 13:30:10
1_243,comment,Eddy Wang(877141739011579), ,2016/01/19 14:20:29, ,1094020483993416_1094037153991749,民進黨如果答應給金門縣蓋金嶝大橋，國民黨在金門縣徹底死絕, , , , ,0, , ,
1_244,comment,金?君(144165309281665), ,2016/01/19 14:20:31, ,1094020483993416_1094037163991748,支持???，希望???退下?后有???大???, , , , ,1, , ,
1_245,comment,楊茜茹(1447647482201609), ,2016/01/19 14:20:38, ,1094020483993416_1094037190658412,不要亂喊拆中正紀念堂，我勸那位不懂事的新科立萎，你會出大事, , , , ,9, , ,
1_246,comment,劉?(1440217762954033), ,2016/01/19 14:21:07, ,1094020483993416_1094037310658400,, , , , ,0, , ,
1_247,comment,Naomi Tsai(1120878047927306), ,2016/01/19 14:21:14, ,1094020483993416_1094037327325065,謝謝馬總統，您辛苦了。, , , , ,10, , ,
1_248,comment,Cai Shian(948660311835508), ,2016/01/19 14:21:19, ,1094020483993416_1094037340658397,加油，馬總統！, , , , ,2, , ,
1_249,comment,吳凱昌(962537857102121), ,2016/01/19 14:21:38, ,1094020483993416_1094037427325055,您不孤單，您有我們挺著！, , , , ,3, , ,
1_250,comment,Eddy Wang(877141739011579), ,2016/01/19 14:21:49, ,1094020483993416_1094037470658384,國民黨2018會死更慘, , , , ,0, , ,
1_251,comment,Eddie Peng(10153593098677249), ,2016/01/19 14:22:09, ,1094020483993416_1094037533991711,聽起來好像是在為美國工作表現, , , , ,0, , ,
1_252,comment,Mil Chen(1081409341927364), ,2016/01/19 14:22:53, ,1094020483993416_1094037663991698,昨天看到自由時報說綠黨和柯文哲要用大巨蛋案來清算馬總統 馬總統您要有所防備 要小心啊, , , , ,0, , ,
1_253,comment,楊毛毛(1123930540964205), ,2016/01/19 14:22:57, ,1094020483993416_1094037687325029,馬總統加油??????八年來辛苦您了再用八年都彌補不了前八年的腐敗, , , , ,9, , ,
1_254,comment,Apphia Lee(153022241743730), ,2016/01/19 14:23:01, ,1094020483993416_1094037727325025,馬總統我們敬愛您為國家的努力！請多保重身體！願神祝福您和全家！, , , , ,8, , ,
1_255,comment,蒲媞(1608626332742107), ,2016/01/19 14:23:11, ,1094020483993416_1094037757325022,您辛苦也委屈了！臺灣有您默默的付出是我們的福氣，現在不知道不認同的人，將來一定會後悔並感激您為臺灣爭取以及所做的一切！時間會還您公道，凡做過的必留下歷史見證！我們全家都愛戴您以您是中華民國總統為榮！, , , , ,7, , ,
1_256,comment,Tony Ching(1074263999268823), ,2016/01/19 14:23:14, ,1094020483993416_1094037763991688,第一，買二手快報廢的老戰機第二，開放牛豬精進口第三，不準去太平島, , , , ,0, , ,
1_257,comment,時美蘭(1017749481631822), ,2016/01/19 14:23:47, ,1094020483993416_1094037870658344,他們說你軟弱， 我說你是太善良，慈悲，從容的很多人, , , , ,9, , ,
1_258,comment,楊茜茹(1447647482201609), ,2016/01/19 14:24:02, ,1094020483993416_1094037913991673,馬總統卸任後帶大家去運動哦，遨遊自然大地～, , , , ,8, , ,
1_259,comment,徐伯憲(1148492471843694), ,2016/01/19 14:24:05, ,1094020483993416_1094037923991672,當初8年前 我們全家就是看上您當的好所以才都投給您的，其實這幾年來我知道您都很努力，沒關係過了都過了希望您之後可以好好去放鬆，去美白皮膚做個拉皮讓自己可以更年輕，變為以前那個更帥馬總統，將來大家會知道您的付出的，謝謝您對台灣的付出, , , , ,10, , ,
1_260,comment,林啟恩(923436151020888), ,2016/01/19 14:24:32, ,1094020483993416_1094037963991668,伯恩斯死亡之握, , , , ,0, , ,
1_261,comment,陳美錚(970350006323446), ,2016/01/19 14:25:27, ,1094020483993416_1094038100658321,李冠瑩,tagging, , , ,1, , ,
1_262,comment,Crystal  Ni(768913819891873), ,2016/01/19 14:25:33, ,1094020483993416_1094038127324985,蔡英文打18%，馬總統從18%砍掉一些大家該領的退休金!這點讓很多藍得很不滿，但馬總統在18%唯一做對的事就是把陳水扁當總統時讓高官領更多(18%)的這個部分調整為該領的!民進黨這些檯面上的人物真的吃相難看品行不好!說白一點就是挺貪腐(倒扁時期民進黨力挺陳水扁)!史上最丟臉的政黨都一個德行!外國人如果知道民進黨是靠偽善贏得選舉的，中華民國還真丟臉耶!選出了一個靠亂講話沒有是非，一件是兩個標準，說一套做一套而非憑本事(品德與賢能)的總統(蔡英文)!, , , , ,15, , ,
1_263,comment,林沛君(927004543997100), ,2016/01/19 14:25:52, ,1094020483993416_1094038173991647,八年來，辛苦了馬總統，謝謝你, , , , ,6, , ,
1_264,comment,詹中宇(802776413151583), ,2016/01/19 14:26:15, ,1094020483993416_1094038253991639,馬總統如果中華民國真的垮了，你會不會出來救救大家。, , , , ,0, , ,
1_265,comment,Sophia Lin(1026789114028494), ,2016/01/19 14:26:27, ,1094020483993416_1094038280658303,感謝馬英九總統，除了維持兩岸和平穩定之外，在臺灣內部還要包容民進黨及新總統拿到權力後的焦慮。, , , , ,10, , ,
1_266,comment,Muyuan Niu(1248612435165931), ,2016/01/19 14:26:28, ,1094020483993416_1094038287324969,?大??，?党在大?弄不?共?党，在台?搞不?民?党，共?党民?党???党派在本??成和做事手法上可是高度一致的啊！?党在不同的地方遇上同?的?手以相同的方式失?了多少次了，我都替你?感到捉急啊，真的。, , , , ,18, , ,
1_267,comment,孫繼華(1595511333998127), ,2016/01/19 14:27:26, ,1094020483993416_1094038437324954,總統520以前你還是總統，不必委屈自己，別人不領情就不要甩他，給他臉不要臉，做好自己，我們挺你。, , , , ,5, , ,
1_268,comment,劉欽炎(494330594050110), ,2016/01/19 14:27:53, ,1094020483993416_1094038513991613,我擔心是否可以還給馬總統一個公道?台灣有太多的抹黑，太多的誤導，太多的是非不分。, , , , ,13, , ,
1_269,comment,Zhaoyong Tong(166875583686181), ,2016/01/19 14:28:29, ,1094020483993416_1094038617324936,支持???, , , , ,3, , ,
1_270,comment,裴夏萍(1649981801901100), ,2016/01/19 14:28:30, ,1094020483993416_1094038627324935,欺負馬總統的一大群畜牲，遲早會有報應的., , , , ,7, , ,
1_271,comment,阮思誠(1121788174503739), ,2016/01/19 14:28:36, ,1094020483993416_1094038647324933,感謝馬總統, , , , ,2, , ,
1_272,comment,陳碧珍(769602203156595), ,2016/01/19 14:29:13, ,1094020483993416_1094038760658255,人在作，天在看，歷史會給你公平答覆，好人不寂寞，馬總統我們都知道你受了很大委屈，凡事只要心安理得沒有大不了，昂首挺胸走出總統府你的戰已打完了，不要回頭改放下了去過你該想過的生活。馬總統辛苦了！加油!, , , , ,6, , ,
1_273,comment,王淑珍(947539001931661), ,2016/01/19 14:29:16, ,1094020483993416_1094038770658254,感恩, , , , ,2, , ,
1_274,comment,Eddy Wang(877141739011579), ,2016/01/19 14:29:21, ,1094020483993416_1094038800658251,馬英九執政好，蔡英文根本沒機會，支持者還在怪民進黨，可見你們輸的不夠徹底, , , , ,0, , ,
1_275,comment,葉世坤(828304647224474), ,2016/01/19 14:29:22, ,1094020483993416_1094038803991584,都已經輸到只剩下金門、馬祖、綠島、蘭嶼.......還在演？叫空心菜入府談多數黨組閣？憲法有這樣的規定嗎？2000連戰選輸，蹲到時間到，交給陳水扁，2008年陳水扁選輸，張俊雄看守到時間到，交給馬英九。乖啦！去做伏地挺身、去找小學生賽跑，別胡搞瞎搞了！還去找毛治國，枯站五分鐘？哪招？不會叫他入府.......都什麼時候，還在演......., , , , ,0, , ,
1_276,comment,Lily  Wang(681485825327634), ,2016/01/19 14:29:33, ,1094020483993416_1094038867324911,馬總統您好，我們全家都支持您， 再也找不到像你這樣清濂的總統，有您執政， 是我們台灣人的驕傲， 有您領導， 是我們台灣人的光榮， 謝謝您這幾年的犧牲和奉獻， 辛苦了， 一輩子都感恩， 最後祝你和夫人身體健康， 馬總統加油!, , , , ,201, , ,
1_277,comment,ZS Jason Ma(10206592557200949), ,2016/01/19 14:29:44, ,1094020483993416_1094038900658241,卸任后?如何？, , , , ,0, , ,
1_278,comment,林峰旭(838209502919625), ,2016/01/19 14:29:58, ,1094020483993416_1094038940658237,別歌功頌德!敗選代表我們有做不好的地方表示還有缺點就是要檢討就是要改。仗打輸了不是輸如果要是只有嘴上說檢討沒做為不真正面對只想別人對不起你的事。沒再戰的勇氣那才是輸。, , , , ,9, , ,
1_279,comment,Start  Chen(355645141293541), ,2016/01/19 14:30:06, ,1094020483993416_1094038957324902,永遠尊敬的馬英九, , , , ,4, , ,
1_280,comment,?四川(858520487568550), ,2016/01/19 14:30:22, ,1094020483993416_1094039030658228,?次台?的邦交小?要?到5?了，最好全部把他?收?！, , , , ,0, , ,
1_281,comment,楊茜茹(1602133876743135), ,2016/01/19 14:30:54, ,1094020483993416_1094039143991550,馬總統加油!讚讚, , , , ,3, , ,
1_282,comment,吳凱昌(962537857102121), ,2016/01/19 14:31:01, ,1094020483993416_1094039177324880,咱別爭，別吵，咱放在心裡，您做的咱記得！但誰要敢無理鬥爭您，咱絕對要站出來翻臉！, , , , ,2, , ,
1_283,comment,Wing Liu(10153127171828089), ,2016/01/19 14:31:19, ,1094020483993416_1094039213991543,辛苦了, , , , ,3, , ,
1_284,comment,陳升(1669231713315647), ,2016/01/19 14:32:04, ,1094020483993416_1094039350658196,https://www.youtube.com/watch?v=ag8vFfk3avU, , , , ,0, , ,
1_285,comment,黃軒(934564296588247), ,2016/01/19 14:32:26, ,1094020483993416_1094039440658187,, , , , ,2, , ,
1_286,comment,Ailin Shen(348303588705983), ,2016/01/19 14:32:35, ,1094020483993416_1094039457324852,馬總統：國民黨黨主席決不能讓朱立倫當了，否則國民黨無法改革。謝謝馬總統的辛勞保重。, , , , ,0, , ,
1_287,comment,許靜婷(855206824561765), ,2016/01/19 14:32:42, ,1094020483993416_1094039473991517,感謝您的付出，您的努力我們有看到，終於可放下重擔，也祝福您平安幸福!!辛苦了~, , , , ,7, , ,
1_288,comment,林巧庭(447261818763719), ,2016/01/19 14:32:45, ,1094020483993416_1094039480658183,謝謝你的付出，雖然很多人對你都是謾罵，但在我心中，你永遠是最棒的總統辛苦你了謝謝你這八年的辛勞??????, , , , ,4, , ,
1_289,comment,時美蘭(1017749481631822), ,2016/01/19 14:33:27, ,1094020483993416_1094039667324831,馬總統是聖人，罵不還口， 人善人欺，前朝官都不換，今天炸自己腳， 人家還不感謝你，，， 所以同志都不諒解你，我們好心疼，, , , , ,175, , ,
1_290,comment,?松(173679752988053), ,2016/01/19 14:33:36, ,1094020483993416_1094039703991494,希望?英九??做台??局新??人, , , , ,1, , ,
1_291,comment,Jenny Lin(773089329443926), ,2016/01/19 14:34:02, ,1094020483993416_1094039850658146,一切既已成定局，大家拭目以待吧！看新政府能端什麼牛肉來讓這689萬的人民開心過好日子！, , , , ,1, , ,
1_292,comment,常?(434490430065428), ,2016/01/19 14:34:12, ,1094020483993416_1094039957324802,?于?些?自美???院的肯定，???，用肯定二字不太好吧？, , , , ,0, , ,
1_293,comment,Peggy Hwang(10204829708755767), ,2016/01/19 14:34:20, ,1094020483993416_1094040323991432,敬愛的馬總統，您並沒有輸，看到批評責難，檢討再檢討。每次跌倒後能再站起來，才是最大的榮耀。你對別人付出太多，自己就會變得更薄弱，你的利用價值完了，也就完了，所以，別老想著取悅別人。長久的政治生涯，多虧有您，我們肯定您的付出，請多保重。喜歡看馬總統面帶笑容，祝福您平安喜樂！加油！, , , , ,1, , ,
1_294,comment,莊忠爾(1104316086250760), ,2016/01/19 14:34:38, ,1094020483993416_1094040390658092,馬總統辛苦了, , , , ,3, , ,
1_295,comment,Eddy Wang(877141739011579), ,2016/01/19 14:35:28, ,1094020483993416_1094040573991407,國民黨亡於馬英九手上, , , , ,0, , ,
1_296,comment,鍾明福(1584499771812931), ,2016/01/19 14:36:00, ,1094020483993416_1094040750658056,蔡老女人的風度、修養、人格都比不上馬總統；三天前的夜晚得意忘形的下令民進黨公職人員要謙卑、謙卑、再謙卑，結果二天後原形畢露，自己在公開場所談話酸馬政府的態度，令人惡心，不斷說英派要如何如何執政，那幅傲慢的態度像謙卑嗎？見笑轉生氣了喔！, , , , ,40, , ,
1_297,comment,Eddy Wang(877141739011579), ,2016/01/19 14:36:43, ,1094020483993416_1094040897324708,馬英九要前進土城看守所，貪汙這麼多，案子一堆, , , , ,0, , ,
1_298,comment,康月娥(971697786224933), ,2016/01/19 14:36:45, ,1094020483993416_1094040913991373,, , , , ,0, , ,
1_299,comment,Ching Yi(795912943835612), ,2016/01/19 14:37:12, ,1094020483993416_1094041043991360,Love u!!, , , , ,1, , ,
1_300,comment,?承前(125149481198736), ,2016/01/19 14:37:20, ,1094020483993416_1094041063991358,英九同志，?打?油了，回家洗洗睡吧, , , , ,0, , ,
1_301,comment,朱伯沝(10153149212783346), ,2016/01/19 14:37:56, ,1094020483993416_1094041263991338,謝謝你馬總統, , , , ,1, , ,
1_302,comment,李華東(823315987752984), ,2016/01/19 14:37:59, ,1094020483993416_1094041283991336,加油, , , , ,1, , ,
1_303,comment,周和男(479041988925075), ,2016/01/19 14:38:00, ,1094020483993416_1094041290658002,任期暨滿希望.馬能全面交接.完完全全放下藍綠.為全台灣人民能安定.祥和.化為力量.**任期八年**沒功勞.也有苦勞.台灣加油, , , , ,3, , ,
1_304,comment,周??(123389918044961), ,2016/01/19 14:38:35, ,1094020483993416_1094041707324627,辛苦，加油吧！中?民?在民族史上已足??煌，不行，就把中?民?和中??民党???史吧。?岸民意的??可能在所?免了。我?大?人不可能接受中?民?等于外?，??法忍受有些人拿?中?民??旗喊台?是?主??立的?家。否?中?民族在我??一代手里??成笑?。, , , , ,2, , ,
1_305,comment,徐婉清(1679683608941621), ,2016/01/19 14:38:41, ,1094020483993416_1094041737324624,加油！, , , , ,1, , ,
1_306,comment,林淼(140011813031457), ,2016/01/19 14:39:06, ,1094020483993416_1094041893991275,下面?粉?么多，也是?了！！-_-||, , , , ,1, , ,
1_307,comment,Shih Hua Huang(1589061604677872), ,2016/01/19 14:39:14, ,1094020483993416_1094041927324605,加油！, , , , ,1, , ,
1_308,comment,Wang Alber(992133707471415), ,2016/01/19 14:39:17, ,1094020483993416_1094041943991270,這裡選完之後好安靜，是休三天嗎？, , , , ,0, , ,
1_309,comment,李奇(475095375999867), ,2016/01/19 14:39:33, ,1094020483993416_1094042040657927,, , , , ,0, , ,
1_310,comment,何金銀(1440854136220197), ,2016/01/19 14:39:48, ,1094020483993416_1094042107324587,辛苦了！, , , , ,1, , ,
1_311,comment,Eddy Wang(877141739011579), ,2016/01/19 14:40:18, ,1094020483993416_1094042327324565,馬英九坐牢會有多少人聲援他？, , , , ,0, , ,
1_312,comment,Vivi Chen(1070766499616626), ,2016/01/19 14:40:23, ,1094020483993416_1094042367324561,馬總統好棒????, , , , ,2, , ,
1_313,comment,米妮(1106051912754234), ,2016/01/19 14:40:46, ,1094020483993416_1094042460657885,, , , , ,0, , ,
1_314,comment,李奇(475095375999867), ,2016/01/19 14:41:29, ,1094020483993416_1094042593991205,總統辛苦了   快回美國好好休息吧, , , , ,0, , ,
1_315,comment,黃雅綺(399931996855806), ,2016/01/19 14:41:43, ,1094020483993416_1094042693991195,馬總統您辛苦了，為了國家國民謝謝你讚，，，，，，，, , , , ,5, , ,
1_316,comment,芊菲(916198431801608), ,2016/01/19 14:42:12, ,1094020483993416_1094042823991182,, , , , ,0, , ,
1_317,comment,艾妮(844286445656742), ,2016/01/19 14:42:31, ,1094020483993416_1094042873991177,馬總統，辛苦了，歷史會還你一個公道的。, , , , ,1, , ,
1_318,comment,Edwin Chen(1618165758422638), ,2016/01/19 14:43:41, ,1094020483993416_1094043103991154,This is hypocrisy when the implementation of DEMOCRACY put in power a government DIRECTLY more hostile to better cross strait relations! The US LOVES Chinese being against Chinese!!!, , , , ,1, , ,
1_319,comment,Sally  Chen(429402473882197), ,2016/01/19 14:44:24, ,1094020483993416_1094043237324474,馬總統，請調查周子渝事件，一定不單純，懷疑有心人士刻意炒作！, , , , ,5, , ,
1_320,comment,宋慧子(224001611269827), ,2016/01/19 14:44:29, ,1094020483993416_1094043243991140,怕, , , , ,0, , ,
1_321,comment,王衍儒(935520989801361), ,2016/01/19 14:44:41, ,1094020483993416_1094043300657801,總統您辛苦了！！, , , , ,1, , ,
1_322,comment,Vivi Chen(1677455232531024), ,2016/01/19 14:45:44, ,1094020483993416_1094043573991107,每一個人生長在這個美麗寶島中華民國的國家裡，都應盡責任的來愛護，保護，疼惜我們先人用無盡的血與汗打拼出得來不易的中華民國寶島這塊土地。。應盡守本份，盡守職責，以善良的心腸，為國家人民百姓加以效勞奉獻服務，這樣一來國家鐵定是個無憂無慮的富足，富國，富民的一個強國國家。, , , , ,1, , ,
1_323,comment,郭蓓珊(10153210724310141), ,2016/01/19 14:45:48, ,1094020483993416_1094043613991103,我才不承認菜鳥是總統?你才是永遠的總統~~~, , , , ,5, , ,
1_324,comment,Jason Chen(453469401475060), ,2016/01/19 14:46:33, ,1094020483993416_1094043770657754,接???存深意。, , , , ,0, , ,
1_325,comment,邱淑貞(856198097791088), ,2016/01/19 14:46:46, ,1094020483993416_1094043820657749,加油加油 馬總統, , , , ,1, , ,
1_326,comment,劉建業(1602861253290670), ,2016/01/19 14:47:27, ,1094020483993416_1094043997324398,謝謝分享！平安如意！快樂順心！加油！加油！加油！, , , , ,2, , ,
1_327,comment,朱秋雨(221346244875266), ,2016/01/19 14:48:38, ,1094020483993416_1094044220657709,交流生活即將結束，來到台灣從人民的口中認識妳，得知妳很盡職，感謝您，祝福台灣，同樣祝福廣東, , , , ,1, , ,
1_328,comment,宋慧子(224001611269827), ,2016/01/19 14:49:11, ,1094020483993416_1094044297324368,您別怕自有公道‧如果有神會還回因果‧不怕因果可以一直自欺欺人‧但因果不欺‧自造業自食果, , , , ,2, , ,
1_329,comment,張若芯(1092681214092771), ,2016/01/19 14:49:16, ,1094020483993416_1094044327324365,辛苦...心中永遠敬佩的馬總統, , , , ,0, , ,
1_330,comment,吳興偉(799084013495257), ,2016/01/19 14:49:35, ,1094020483993416_1094044400657691,ㄧ定要每篇文章下面都ㄧ堆攻擊的留言嗎？到底是怎麼了?, , , , ,2, , ,
1_331,comment,橘子王(1093341337346236), ,2016/01/19 14:49:37, ,1094020483993416_1094044423991022,加油！, , , , ,1, , ,
1_332,comment,宋慧子(224001611269827), ,2016/01/19 14:49:49, ,1094020483993416_1094044470657684,, , , , ,0, , ,
1_333,comment,Denny Chou(1670714439825338), ,2016/01/19 14:49:58, ,1094020483993416_1094044500657681,謝謝您馬總統！真的超棒的～ 謝謝您這八年來對台灣的付出，對青年的肯定，讓我們大開眼界，謝謝您！不管別人怎麼說，那些您為我們做過的事不會消失????, , , , ,1, , ,
1_334,comment,Fang Mei Xi(701187356693295), ,2016/01/19 14:50:02, ,1094020483993416_1094044520657679,菜英文是個人頭豬腦的空心菜！腦袋空白！除了老拖他人後退批評他人！真是一個白癡！日久見人心！大家耐心的等！, , , , ,4, , ,
1_335,comment,Wayne Feng(1670561656509161), ,2016/01/19 14:50:06, ,1094020483993416_1094044537324344,准備什麼時候給國民黨開追悼會？, , , , ,0, , ,
1_336,comment,Zhen  Chen(1615086082056051), ,2016/01/19 14:50:44, ,1094020483993416_1094044847324313,你是爛東西, , , , ,1, , ,
1_337,comment,Harrison D Wang(377693169081855), ,2016/01/19 14:50:58, ,1094020483993416_1094048737323924,, , , , ,0, , ,
1_338,comment,YF Chia(144975605839327), ,2016/01/19 14:51:16, ,1094020483993416_1094048830657248,注意伯恩斯的肢體語言，只伸了半隻手，身體後仰，下巴上揚，笑容僵硬。, , , , ,0, , ,
1_339,comment,Vanessa Lee(780668588744633), ,2016/01/19 14:51:21, ,1094020483993416_1094048867323911,對馬總統我也要說聲“辛苦了”，八年來帶給台灣安定幸福的生活，我們都捨不得您走, , , , ,9, , ,
1_340,comment,Eric Yang(10104373102639137), ,2016/01/19 14:51:26, ,1094020483993416_1094048897323908,馬總統我支持你！！, , , , ,3, , ,
1_341,comment,劉萍萍(985345461490658), ,2016/01/19 14:52:58, ,1094020483993416_1094049333990531,辛苦總統了 加油??, , , , ,4, , ,
1_342,comment,李哲豪(10203556267340700), ,2016/01/19 14:53:04, ,1094020483993416_1094049350657196,, , , , ,1, , ,
1_343,comment,Nicole Yeh(827309924022668), ,2016/01/19 14:53:18, ,1094020483993416_1094049393990525,辛苦了我永遠的馬總統！！您的努力我們全部都看見了??????????????, , , , ,18, , ,
1_344,comment,鄭雅文(802479563211720), ,2016/01/19 14:53:26, ,1094020483993416_1094049427323855,謝謝馬總統這8年為中華民國的付出， 辛苦了， 希望卸任後的生活健康快樂， 上帝祝福您., , , , ,3, , ,
1_345,comment,洪珮維(1034981853182603), ,2016/01/19 14:53:43, ,1094020483993416_1094049463990518,辛苦你了馬總統 希望你接下來好好休息 難過妳這八年來漸漸蒼老的臉龐??, , , , ,11, , ,
1_346,comment,Charlie Chan(10152797712830163), ,2016/01/19 14:54:26, ,1094020483993416_1094049623990502,???保重, , , , ,1, , ,
1_347,comment,鄭儂(946933178650749), ,2016/01/19 14:55:37, ,1094020483993416_1094049800657151,馬總統，你總算可以好好的卸任了 這八年看你臉上的皺紋 不禁感嘆 你執政前就已經是一盤散沙了 亂七八糟的窘境 那不是一天兩天可以改變的 今天就算不是你執政 我相信過去那八年也不一定比現在好 你這八年是在打一場很難打的仗 如今這場仗要換別人打了 你可以好好休息了 去跑你最喜歡的路跑 去做你喜歡做的事 那些謾罵就留給新一任去受吧！, , , , ,394, , ,
1_348,comment,翁評(850400055047983), ,2016/01/19 14:55:37, ,1094020483993416_1094049803990484,總統您辛苦了??, , , , ,5, , ,
1_349,comment,Apphia Lee(153022241743730), ,2016/01/19 14:55:48, ,1094020483993416_1094049830657148,馬政府做牛做馬拚政績拚經濟，民進黨這八年甚麼都沒有做，他們只拚抹黑馬總統就嬴了選舉！, , , , ,10, , ,
1_350,comment,Eddy Wang(877141739011579), ,2016/01/19 14:56:00, ,1094020483993416_1094050040657127,看完留言，更加確定國民黨滅亡, , , , ,0, , ,
1_351,comment,Jennifer  Lin(661644247303100), ,2016/01/19 14:56:03, ,1094020483993416_1094050087323789,馬總統真的很棒，尤其在外交方面，讓台灣在國際上更能站得住腳。辛苦了8年，為台灣義不容辭默默付出了8年。馬總統是台灣最棒的總統, , , , ,1, , ,
1_352,comment,郭仲倫(652919268187722), ,2016/01/19 14:56:10, ,1094020483993416_1094050203990444,<概念探討>筆者出身自外省家庭，這種大中國腦「再了解不過」了。看完後你可以對國民黨有相當程度的瞭解筆者為外省二代，觀察獨到精闢，非常推薦此文 http://blog.yam.com/eoiss/article/123954233國民黨的統治結構與手法，從敗於共產黨後來到台灣，一直都是一樣的，只要國民黨的統治結構一部份 ，做的事情就沒有兩樣，到了台獨教父馬英九的這八年，手法還是如出一轍。國民黨的血腥高壓統治手段，可以說是史不絕書，228事件殺害數以萬計台灣精英就是一例。只有時間與地域差別，沒有本質的不同。 就是一個流亡外來政權。與台灣人民沒有結合，必然產生的結果。是腐敗貪污的殖民政權。 為了破壞殖民地的舊有體制，除了在政治上壓制原來的既得利益階級，但同時找尋願意背叛同胞的支持者，讓他們為了爭權奪利彼此內鬥，一舉兩得。而在基層則給予在地民眾教育與工作的機會，打破殖民地可能長達數百年的階級結構，而在學校教育上當然是採取母國的觀點，除了爭取小老百姓支持，還可以得到下一代的殖民合作對象，甚至是完全效忠殖民母國的新國民。敗退流亡下來台的國民黨來台後，所作所為跟課本寫的完全一樣，並沒有任何差別。國民黨過去五十年，不需要依靠共產黨也可以過活，現在變成把命根子交給了中國，表面上是風光取回政權，實際上是在意識形態被傀儡化，中國這些歷經文革的老江湖，非常清楚怎麼對付國民黨這群沒鬥爭過的官二代。結果就是台灣一步步在經濟上被弱化，慢慢變成附屬中國的地位，朝向實質統一的道路邁進。當然，國民黨也自以為這招可以在台灣永續執政，反正人民好騙，打賞一點洗碗水就可以了。理論上這招成功機率很大，共產黨也知道這點，但實際上卻是八年下來玩光光，馬英九變成台獨教父, , , , ,1, , ,
1_353,comment,Judy Lee(10206843258869181), ,2016/01/19 14:56:48, ,1094020483993416_1094051203990344,馬英九你做的很好，謝謝你！我們都會想念你的??, , , , ,12, , ,
1_354,comment,黃筠雅(10203868226732156), ,2016/01/19 14:57:01, ,1094020483993416_1094051343990330,我們愛你，馬總統, , , , ,1, , ,
1_355,comment,時美蘭(1017749481631822), ,2016/01/19 14:57:21, ,1094020483993416_1094051487323649,蔡英文抽簽，武則天，癸卯簽， 不是好簽，可以上網查查看的內容，, , , , ,2, , ,
1_356,comment,王志?(176039856086049), ,2016/01/19 14:57:51, ,1094020483993416_1094051567323641,? 你也就是??得好看 加油 ???, , , , ,0, , ,
1_357,comment,陳家築(1018065944879975), ,2016/01/19 14:57:57, ,1094020483993416_1094051593990305,投給你的票讓我覺得值得，因為你是位不會逃避責任的總統，當你接受到別人留下來的爛攤子，身為台灣人我為你是個真正的總統，我深深向你鞠躬!，個人覺得朱先生真正的負責不是辭去職位，而是學著在失敗中成長，在小時候老師有教導我們，離開不能解決問題，學著面對才是責任!, , , , ,1, , ,
1_358,comment,解雅婷(760996343999384), ,2016/01/19 14:58:02, ,1094020483993416_1094051610656970,辛苦了！, , , , ,1, , ,
1_359,comment,上官立芬(1516160045344615), ,2016/01/19 14:58:15, ,1094020483993416_1094051643990300,永遠支持您！謝謝您！辛苦了！, , , , ,1, , ,
1_360,comment,陳北機(10206885677330796), ,2016/01/19 14:58:18, ,1094020483993416_1094051653990299,李登輝公開說國民黨為外來政權?釣魚台是日本的；陳水扁賣官?貪污...罄竹難書，更在1994年參選台北市長時高掛國父像搞笑版和自承為”美在台軍政府代表”...均是孫總理和國父叛徒的鐵証！如不改”親美友日和陸”為較符合孫中山思想的”親陸友外反霸”，每天向國父遺像鞠躬，不會被國父斥為”作大官卻不作大事”嗎？, , , , ,3, , ,
1_361,comment,陳婕(754764261289209), ,2016/01/19 14:58:40, ,1094020483993416_1094051747323623,馬總統是我最喜歡的總統??, , , , ,4, , ,
1_362,comment,張家齊(811979292217507), ,2016/01/19 14:58:51, ,1094020483993416_1094051780656953,謝謝你，辛苦了，你是我心中永遠的總統，, , , , ,1, , ,
1_363,comment,Mui Chen(588494087920867), ,2016/01/19 14:59:01, ,1094020483993416_1094051833990281,我們心中永遠的總統~ 馬總統好讚！, , , , ,1, , ,
